1993,1991,1992,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,new
UNV,UNV,UNV,UNV,UNV,UNV,UNV,UNV,大学,大学,大学,大学,大学,大学,大学,大学,大学,大学,大学,大学,大学,daigaku,daigaku,daigaku,daigaku,daigaku,daigaku,daigaku,daigaku,daigaku,大学コード
Q1A,Q1A,Q1A,Q1A,Q1A,Q1A,Q1A,Q1A,Q1A,Q1A,Q1A,Q1A,q1a,Q1A,Q1A,Q1A,q1a,q1a,q1a,q1a,q1a,q1a,q1a,q1a,q1a,q1a,q1a,q1a,q1a,q1b,学部
Q1D,Q1D,Q1D,Q1D,Q1D,Q1D,Q1D,Q1D,Q1D,Q1D,Q1D,Q1D,q1d,Q1D,Q1D,Q1D,q1e,q1e,q1e,q1e,q1e,q1e,q1e,q1e,q1e,q1e,q1e,q1f,q1f,q1g,入試形態
Q1B,Q1B,Q1B,Q1B,Q1B,Q1B,Q1B,Q1B,Q1B,Q1B,Q1B,Q1B,q1b,Q1B,Q1B,Q1B,q1b,q1b,q1b,q1b,q1b,q1b,q1b,q1b,q1b,q1b,q1b,q1b,q1b,q1c,学年
Q1C,Q1C,Q1C,Q1C,Q1C,Q1C,Q1C,Q1C,Q1C,Q1C,Q1C,Q1C,q1c,Q1C,Q1C,Q1C,q1d,q1d,q1d,q1d,q1d,q1d,q1d,q1d,q1d,q1d,q1d,q1d,q1d,q1e,性別
Q23C,Q22D,Q21F,Q21D,Q19D,Q10D,Q10D,Q7D,Q7D,Q12C,Q11E,Q11E,q12e,Q11F,Q14F,Q10F,q2f,q2f,q2f,q2f,q2f,q2f,q2f,q2f,q2f,q2f,q2f,q2g,q2g,q3c,大学生活重点
,,,,,,,,,,,,,,,,,,,,,,,q8.1.1,q8.1.1,q7.1.1,q9_1_1,q8a_1,q10a_1,q11a_1,自習時間_大学_時
,,,,,,,,,,,,,,,,,,,,,q5.1,q6.1,q8.1.2,q8.1.2,q7.1.2,q9_1_2,q8a_2,q10a_2,q11a_2,自習時間_大学_分
,,,,,,,,,,,,,,,,,,,,,,,q8.2.1,q8.2.1,q7.2.1,q9_2_1,q8b_1,q10b_1,q11b_1,自習時間_大学以外_時
,,,,,,,,,,,,,,,,,,,,,q5.2,q6.2,q8.2.2,q8.2.2,q7.2.2,q9_2_2,q8b_2,q10b_2,q11b_2,自習時間_大学以外_分
Q29A1,Q29A1,Q29A1,Q26A1,Q21A1,Q16A1,Q18A1,Q13A1,Q13A1,Q11A1,Q18A1,Q12A1,q13a1,Q20.1.1,Q23.1.1,Q18.1.1,q24a1.1,q23a1.1,q22a1.1,q21a1.1,q21a1.1,q18.1.1,q18.1.1,q18.1.1,q19.1.1,,,,,,父_職業
Q29A2,Q29A2,Q29A2,Q26A2,Q21A2,Q16A2,Q18A2,Q13A2,Q13A2,Q11A2,Q18A2,Q12A2,q13a2,Q20.1.2,Q23.1.2,Q18.2.1,q24a2.1,q23a2.1,q22a2.1,q21a2.1,q21a2.1,q18.2.1,q18.2.1,q18.2.1,q19.2.1,,,,,,父_年収
Q29B1,Q29B1,Q29B1,Q26B1,Q21B1,Q16B1,Q18B1,Q13B1,Q13B1,Q11B1,Q18B1,Q12B1,q13b1,Q20.2.1,Q23.2.1,Q18.1.2,q24a1.2,q23a1.2,q22a1.2,q21a1.2,q21a1.2,q18.1.2,q18.1.2,q18.1.2,q19.1.2,,,,,,母_職業
Q29B2,Q29B2,Q29B2,Q26B2,Q21B2,Q16B2,Q18B2,Q13B2,Q13B2,Q11B2,Q18B2,Q12B2,q13b2,Q20.2.2,Q23.2.2,Q18.2.2,q24a2.2,q23a2.2,q22a2.2,q21a2.2,q21a2.2,q18.2.2,q18.2.2,q18.2.2,q19.2.2,,,,,,母_年収
,,,,,,,,,,,,,,,,,,,,,,,,,q18.1,q19a,q16a,q19a,q19a,主な家計支持者_職業
,,,,,,,,,,,,,,,,,,,,,,,,,q18.2,q19b1,q16b,q19b,q19b,主な家計支持者_年収
,,,,,,,,,,,,,,,,,,,,,,,,,q18.3,q19b2,q16c,q19c,q19c,その他家族_年収
Q5A,Q5A,Q5A,Q5A,Q5A,Q5A,Q5A,Q5A,Q5A,Q5A,Q5A,Q5A,q5a,Q3,Q3,Q6A,q21a,q20c1,q19d1,q18d1,q18d1,q15b1,q14b1,q14b1,q15b1,q14b1,q15a1,q12a,q15a,q15a,アルバイト経験
Q3.2,Q3.2,Q3.2,Q3.2,Q3.2,Q3.2,Q3.2,Q3.2,Q3.2,Q3.2,Q3.2,Q3.2,q3.2,Q4.2,Q5.2,Q3A2,q22a2,q21a2,q20a2,q19a2,q19a2,q16a2,q16a2,q16a2,q17a2,q16a2,q17a2,q14a2,q17a2,q17a2,奨学金収入
,,,,,,,,,,,,,Q11J_1,Q14I_1,Q10I_1,q2i_1,q2i_1,q2i_1,q2i_1,q2i_1,q2i_1,q2h_1,q2h_1,q2h_1,q2h_1,q2h_1,q2i_1,q2i_1,q3e_1,大学選択理由_1
,,,,,,,,,,,,,Q11J_2,Q14I_2,Q10I_2,q2i_2,q2i_2,q2i_2,q2i_2,q2i_2,q2i_2,q2h_2,q2h_2,q2h_2,q2h_2,q2h_2,q2i_2,q2i_2,q3e_2,大学選択理由_2
,,,,,,,,,,,,,,,,,,,,,,,,,,,q2i_n,q2i_n,,大学選択理由_n
