大学名,改革年_大綱化,改革年_AL
北海道大学,1995,0
東北大学,2002,2013
東京大学,1993,2015
名古屋大学,1994,0
京都大学,1998,2016
大阪大学,1994,2019
九州大学,1994,2014
弘前大学,2002,2016
秋田大学,1998,0
岩手大学,2000,0
山形大学,1993,2017
福島大学,1995,2019
宇都宮大学,1993,0
群馬大学,1993,2013
茨城大学,1996,2017
埼玉大学,1993,0
お茶の水女子大学,1992,0
千葉大学,1999,0
横浜国立大学,1997,0
新潟大学,2000,0
富山大学,1993,0
金沢大学,0,0
福井大学,1999,0
信州大学,1994,2012
山梨大学,1998,2014
静岡大学,1993,2013
三重大学,1995,2015
岐阜大学,1997,2012
神戸大学,1993,2016
奈良女子大学,0,2015
和歌山大学,0,0
岡山大学,1999,2016
広島大学,1997,2018
鳥取大学,2001,0
島根大学,2000,0
山口大学,1995,0
徳島大学,0,2015
香川大学,1995,2012
愛媛大学,1996,2013
高知大学,1998,0
長崎大学,1994,0
佐賀大学,1994,2013
熊本大学,1994,0
大分大学,0,2016
宮崎大学,1999,2014
鹿児島大学,1997,2016
琉球大学,1994,0
